"1,3,5-trimethylbenzene",ideal gas isobaric heat capacity,107,298.15,1500,113070,277060,820.04,142980,2442.1
"1,3,5-trimethylbenzene",heat of vaporization,106,228.42,637.3,59365000,0.35743,0,0,0
"1,3,5-trimethylbenzene",vapour pressure,101,228.42,637.3,88.697,-8317,-9.733,5.32E-06,2
"1,3,5-trimethylbenzene",liquid density,105,228.42,637.3,0.59881,0.25916,637.3,0.27961,0
"1,3,5-trimethylbenzene",liquid isobaric heat capacity,100,230,640,1,1,1,1,1
"1,3,5-trimethylbenzene",second viral coefficients,104,240,650,1,1,1,1,1
1-butanol,vapour pressure,101,183.85,563.1,106.29483,-9866.355,-11.6553,1.08E-17,6
1-butanol,liquid density,105,183.85,563.1,0.98279,0.2683,563.1,0.25488,
1-butanol,ideal gas isobaric heat capacity,107,298.15,1500,74540,259070,1607.3,173200,712.4
1-butanol,liquid isobaric heat capacity,100,183.85,391,191200,-730.4,2.2998,,
1-butanol,heat of vaporization,106,183.85,563.1,71274000,0.0483,0.8966,-0.5116,
1-butanol,second viral coefficients,104,281.5,1500,0.314,-283.07,-0.001075,-5.26E+20,-1.83E+22
1-decanol,vapour pressure,101,280.05,688,156.23933,-15212.3,-18.42393,8.50E-18,6
1-decanol,liquid density,105,280.05,688,0.38208,0.24645,688,0.26125,
1-decanol,ideal gas isobaric heat capacity,107,298.15,1500,169840,539200,1568,393800,720.5
1-decanol,liquid isobaric heat capacity,100,280,503.15,4988500,-52898,216.35,-0.37538,0.00023674
1-decanol,heat of vaporization,106,280.05,688,79041000,-1.36,4.0854,-2.3871,
1-decanol,second viral coefficients,104,343.65,1500,0.4274,-335.3171,-194370000,-3.04E+21,3.98E+22
1-decene,vapour pressure,101,206.89,616.6,68.401,-7776.9,-6.4637,6.38E-18,6
1-decene,liquid density,105,206.89,616.6,0.43981,0.25661,616.6,0.29148,0
1-decene,liquid isobaric heat capacity,100,200,700,1,1,1,1,1
1-decene,second viral coefficients,104,200,400,1,1,1,1,1
1-decene,heat of vaporization,106,206.89,616.6,66985000,0.76944,-0.79975,0.42379,0
1-decene,ideal gas isobaric heat capacity,107,298.15,1500,171010,520890,1726.5,359350,782.92
1-docosanol,vapour pressure,101,,,100,52,1,1,1
1-docosanol,liquid density,105,,,1,1,1,1,1
1-docosanol,liquid isobaric heat capacity,100,,,1,1,1,1,1
1-docosanol,ideal gas isobaric heat capacity,107,,,1,1,1,1,1
1-docosanol,heat of vaporization,106,,,1,1,1,1,1
1-docosanol,second viral coefficients,104,,,1,1,1,1,1
1-dodecene,liquid density,105,237.95,657.1,0.3393,0.246,657.1,0.28571,0
1-dodecene,vapour pressure,101,237.95,657.1,82.022,-9485.6,-8.2517,4.98E-18,6
1-dodecene,heat of vaporization,106,237.95,657.1,79393000,0.67288,-0.44972,0.17322,0
1-dodecene,ideal gas isobaric heat capacity,107,298.15,1500,216430,427460,815.94,264900,2417.3
1-dodecene,liquid isobaric heat capacity,100,300,500,1,1,1,1,1
